,Sentence #,Word,POS,Tag
0,Sentence: 1,Thousands,NNS,O
1,,of,IN,O
2,,demonstrators,NNS,O
3,,have,VBP,O
4,,marched,VBN,O
5,,through,IN,O
6,,London,NNP,B-geo
7,,to,TO,O
8,,protest,VB,O
9,,the,DT,O
10,,war,NN,O
11,,in,IN,O
12,,Iraq,NNP,B-geo
13,,and,CC,O
14,,demand,VB,O
15,,the,DT,O
16,,withdrawal,NN,O
17,,of,IN,O
18,,British,JJ,B-gpe
19,,troops,NNS,O
20,,from,IN,O
21,,that,DT,O
22,,country,NN,O
23,,.,.,O
24,Sentence: 2,Families,NNS,O
25,,of,IN,O
26,,soldiers,NNS,O
27,,killed,VBN,O
28,,in,IN,O
29,,the,DT,O
30,,conflict,NN,O
31,,joined,VBD,O
32,,the,DT,O
33,,protesters,NNS,O
34,,who,WP,O
35,,carried,VBD,O
36,,banners,NNS,O
37,,with,IN,O
38,,such,JJ,O
39,,slogans,NNS,O
40,,as,IN,O
41,,"""",``,O
42,,Bush,NNP,B-per
43,,Number,NN,O
44,,One,CD,O
45,,Terrorist,NN,O
46,,"""",``,O
47,,and,CC,O
48,,"""",``,O
49,,Stop,VB,O
50,,the,DT,O
51,,Bombings,NNS,O
52,,.,.,O
53,,"""",``,O
54,Sentence: 3,They,PRP,O
55,,marched,VBD,O
56,,from,IN,O
57,,the,DT,O
58,,Houses,NNS,O
59,,of,IN,O
60,,Parliament,NN,O
61,,to,TO,O
62,,a,DT,O
63,,rally,NN,O
64,,in,IN,O
65,,Hyde,NNP,B-geo
66,,Park,NNP,I-geo
67,,.,.,O
68,Sentence: 4,Police,NNS,O
69,,put,VBD,O
70,,the,DT,O
71,,number,NN,O
72,,of,IN,O
73,,marchers,NNS,O
74,,at,IN,O
75,,"10,000",CD,O
76,,while,IN,O
77,,organizers,NNS,O
78,,claimed,VBD,O
79,,it,PRP,O
80,,was,VBD,O
81,,"1,00,000",CD,O
82,,.,.,O
83,Sentence: 5,The,DT,O
84,,protest,NN,O
85,,comes,VBZ,O
86,,on,IN,O
87,,the,DT,O
88,,eve,NN,O
89,,of,IN,O
90,,the,DT,O
91,,annual,JJ,O
92,,conference,NN,O
93,,of,IN,O
94,,Britain,NNP,B-geo
95,,'s,POS,O
96,,ruling,VBG,O
97,,Labor,NNP,B-org
98,,Party,NNP,I-org
99,,in,IN,O
100,,the,DT,O
101,,southern,JJ,O
102,,English,JJ,B-gpe
103,,seaside,NN,O
104,,resort,NN,O
105,,of,IN,O
106,,Brighton,NNP,B-geo
107,,.,.,O
108,Sentence: 6,The,DT,O
109,,party,NN,O
110,,is,VBZ,O
